[width=0.5] parameter CRNN: 2,476,542  + AuxDecoder (training-only): 1,893,472  device: cuda
[width=0.5] epoch 55/120  lr=6.02e-04  ctc_loss=0.0122  aux_loss=0.9988  val_cer=0.0513  val_wer=0.1211  val_exact=0.6542  (2719s elapsed)
[width=0.5] epoch 56/120  lr=5.88e-04  ctc_loss=0.0014  aux_loss=0.9884  val_cer=0.0462  val_wer=0.1055  val_exact=0.6750  (2768s elapsed)
[width=0.5] epoch 57/120  lr=5.75e-04  ctc_loss=0.0011  aux_loss=0.9854  val_cer=0.0437  val_wer=0.0949  val_exact=0.6917  (2817s elapsed)
[width=0.5] epoch 58/120  lr=5.61e-04  ctc_loss=0.0016  aux_loss=0.9897  val_cer=0.0450  val_wer=0.1018  val_exact=0.6875  (2867s elapsed)
[width=0.5] epoch 59/120  lr=5.48e-04  ctc_loss=0.0009  aux_loss=0.9866  val_cer=0.0372  val_wer=0.0878  val_exact=0.7000  (2916s elapsed)
[width=0.5] epoch 60/120  lr=5.34e-04  ctc_loss=0.0009  aux_loss=0.9836  val_cer=0.0410  val_wer=0.0951  val_exact=0.6917  (2965s elapsed)
[width=0.5] epoch 61/120  lr=5.20e-04  ctc_loss=0.0011  aux_loss=0.9772  val_cer=0.0501  val_wer=0.1058  val_exact=0.6833  (3015s elapsed)
[width=0.5] epoch 62/120  lr=5.07e-04  ctc_loss=0.0008  aux_loss=0.9732  val_cer=0.0440  val_wer=0.1007  val_exact=0.6750  (3066s elapsed)
[width=0.5] epoch 63/120  lr=4.93e-04  ctc_loss=0.0009  aux_loss=0.9727  val_cer=0.0423  val_wer=0.0928  val_exact=0.6958  (3116s elapsed)
[width=0.5] epoch 64/120  lr=4.80e-04  ctc_loss=0.0006  aux_loss=0.9678  val_cer=0.0431  val_wer=0.0958  val_exact=0.6917  (3164s elapsed)
[width=0.5] epoch 65/120  lr=4.66e-04  ctc_loss=0.0005  aux_loss=0.9668  val_cer=0.0426  val_wer=0.0996  val_exact=0.6833  (3210s elapsed)
[width=0.5] epoch 66/120  lr=4.52e-04  ctc_loss=0.0006  aux_loss=0.9661  val_cer=0.0484  val_wer=0.1069  val_exact=0.6875  (3257s elapsed)
[width=0.5] epoch 67/120  lr=4.39e-04  ctc_loss=0.0007  aux_loss=0.9645  val_cer=0.0452  val_wer=0.1000  val_exact=0.6875  (3302s elapsed)
[width=0.5] epoch 68/120  lr=4.25e-04  ctc_loss=0.0010  aux_loss=0.9630  val_cer=0.0423  val_wer=0.1001  val_exact=0.6792  (3346s elapsed)
[width=0.5] epoch 69/120  lr=4.12e-04  ctc_loss=0.0006  aux_loss=0.9612  val_cer=0.0526  val_wer=0.1143  val_exact=0.6792  (3391s elapsed)
[width=0.5] epoch 70/120  lr=3.98e-04  ctc_loss=0.0009  aux_loss=0.9601  val_cer=0.0398  val_wer=0.0895  val_exact=0.7000  (3434s elapsed)
